,make,year,model,mileage,certified,price
0,Toyota,2018,Avalon,29763,0,17995
1,Toyota,2019,Sienna,9096,0,23900
2,Toyota,2018,Camry,21875,1,20899
3,Toyota,2011,Sienna,77473,0,9495
4,Toyota,2018,Camry,39181,0,17400
5,Toyota,2015,Corolla,23020,0,11596
6,Toyota,2012,Camry,101332,0,9999
7,Toyota,2018,Corolla,37078,0,12995
8,Toyota,2018,Sienna,47824,0,18971
9,Toyota,2018,Highlander,30500,0,24988
10,Toyota,2019,Avalon,18189,0,27108
11,Toyota,2018,Highlander,25027,0,24995
12,Toyota,2007,Camry,144116,0,4990
13,Toyota,2015,Highlander,33305,0,21950
14,Toyota,2016,Sequoia,37880,0,25995
15,Toyota,2015,Corolla,54478,0,8999
16,Toyota,2009,Avalon,28600,0,11500
17,Toyota,2018,Sequoia,36885,0,45991
18,Toyota,2019,Camry,9944,0,28100
19,Toyota,2014,Avalon,78552,0,12995
20,Toyota,2020,RAV4,9692,0,25887
21,Toyota,2020,Corolla,4426,0,17200
22,Toyota,2017,Avalon,27930,1,24434
23,Toyota,2015,RAV4,47971,0,14777
24,Toyota,2017,Highlander,51064,0,23000
25,Toyota,2018,Corolla,19611,0,16850
26,Toyota,2008,FJ,115247,0,13999
27,Toyota,2020,Corolla,22953,0,17999
28,Toyota,2011,Sienna,117761,0,11997
29,Toyota,2014,Avalon,81465,0,14999
30,Toyota,2018,Camry,44295,1,18216
31,Toyota,2017,Highlander,23191,0,28962
32,Toyota,2014,Venza,55601,0,16500
33,Toyota,2018,Sienna,20677,0,24981
34,Toyota,2018,Camry,27627,0,19981
35,Toyota,2018,Corolla,32615,0,14419
36,Toyota,2019,Highlander,17620,0,28739
37,Toyota,2016,Avalon,22336,0,19999
38,Toyota,2018,Camry,29609,0,23975
39,Toyota,2019,4Runner,18827,0,42900
40,Toyota,2012,Avalon,74883,0,13747
41,Toyota,2017,Corolla,47794,0,12487
42,Toyota,2018,Camry,22120,0,17900
43,Toyota,2015,Venza,32875,0,20984
44,Toyota,2007,FJ,42857,0,25995
45,Toyota,2014,Avalon,63862,0,13790
46,Toyota,2018,Camry,36517,0,15499
47,Toyota,2020,Corolla,25908,0,17998
48,Toyota,2018,Avalon,33197,0,19984
49,Toyota,2016,Corolla,48594,0,9998
50,Toyota,2019,Corolla,14212,0,17938
51,Toyota,2013,Highlander,97947,0,13900
52,Toyota,2020,Corolla,18301,0,17451
53,Toyota,2018,Corolla,34947,0,12989
54,Toyota,2019,Camry,31407,0,18977
55,Toyota,2012,Sienna,74276,0,13974
56,Toyota,2018,Corolla,36357,0,13987
57,Toyota,2015,Avalon,49414,0,19950
58,Toyota,2017,Sienna,38364,0,22757
59,Toyota,2015,Sienna,127610,0,8998
60,Toyota,2017,Prius,26415,0,20957
61,Toyota,2008,Sequoia,204000,0,7499
62,Toyota,2020,Corolla,26486,0,15274
63,Toyota,2017,Camry,47907,0,13499
64,Toyota,2016,Prius,52000,0,19750
65,Toyota,2018,RAV4,18746,1,21000
66,Toyota,2014,Avalon,64137,0,15495
67,Toyota,2014,Camry,88962,0,8995
68,Toyota,2015,Avalon,98735,0,12795
69,Toyota,2019,C-HR,26838,0,16395
70,Toyota,2018,Corolla,15215,0,15354
71,Toyota,2009,Yaris,80072,0,5499
72,Toyota,2015,Sienna,69365,0,19399
73,Toyota,2018,Highlander,33304,0,29498
74,Toyota,2018,Highlander,8766,0,33454
75,Toyota,2008,Avalon,109464,0,6500
76,Toyota,2018,Highlander,11588,0,31000
77,Toyota,2019,Camry,15972,0,24589
78,Toyota,2020,RAV4,13275,1,34840
79,Toyota,2015,Corolla,61907,0,12475
80,Toyota,2017,Corolla,55577,0,8495
81,Toyota,2016,Camry,52155,0,15748
82,Toyota,2017,Corolla,46506,0,11999
83,Toyota,2019,Camry,41258,0,16981
84,Toyota,2019,Camry,41018,0,16981
85,Toyota,2006,Camry,112000,0,4200
86,Toyota,2019,C-HR,19451,0,16503
87,Toyota,2013,Prius,147370,0,6999
88,Toyota,2013,Corolla,67703,0,7999
89,Toyota,2020,Avalon,2206,1,38992
90,Toyota,2019,C-HR,11723,0,23896
91,Toyota,2017,Camry,19167,0,16361
92,Toyota,2011,Sienna,56238,0,16401
93,Toyota,2014,Camry,92858,0,8999
94,Toyota,2016,4Runner,55298,0,30000
95,Toyota,2013,Sienna,91254,0,14994
96,Toyota,2020,Corolla,10532,0,18977
97,Toyota,2017,Highlander,26861,0,24739
98,Toyota,2017,Highlander,58827,0,27579
99,Toyota,2018,Avalon,17468,1,27984
100,Toyota,2015,Highlander,48790,0,23990
101,Toyota,2018,RAV4,9312,1,25900
102,Toyota,2008,FJ,173953,0,14988
103,Toyota,2015,Venza,57299,0,15542
104,Toyota,2010,Corolla,77400,0,7000
105,Toyota,2015,Camry,99495,0,11590
106,Toyota,2018,Corolla,20716,0,15920
107,Toyota,2019,Avalon,27961,0,34105
108,Toyota,2019,C-HR,24648,0,20433
109,Toyota,2015,Corolla,68105,0,8999
110,Toyota,2014,Corolla,49000,0,9000
111,Toyota,2019,C-HR,22533,0,18090
112,Toyota,2019,Prius,29840,0,19380
113,Toyota,2015,Highlander,73613,0,24400
114,Toyota,2018,C-HR,36406,0,17870
115,Toyota,2010,Venza,121013,0,11100
116,Toyota,2018,Prius,46973,0,15781
117,Toyota,2018,Corolla,26650,0,13995
118,Toyota,2018,Camry,49265,0,14870
119,Toyota,2019,Highlander,17467,0,34520
120,Toyota,2018,C-HR,33898,0,18724
121,Toyota,2017,Sienna,37136,0,23990
122,Toyota,2016,RAV4,13224,0,17400
123,Toyota,2009,Camry,145867,0,6595
124,Toyota,2007,FJ,155260,0,14825
125,Toyota,2020,Corolla,2521,0,15959
126,Toyota,2018,Corolla,8603,0,15988
127,Toyota,2018,RAV4,13894,0,26963
128,Toyota,2015,Venza,72615,0,14999
129,Toyota,2012,Corolla,90746,0,8758
130,Toyota,2018,Sienna,32736,0,25623
131,Toyota,2020,Prius,2799,1,31573
132,Toyota,2018,RAV4,38259,0,18000
133,Toyota,2018,Camry,30301,0,16598
134,Toyota,2017,Highlander,90459,0,21900
135,Toyota,2012,Sequoia,137300,0,16498
136,Toyota,2018,Corolla,16537,0,13609
137,Toyota,2009,Corolla,128224,0,5495
138,Toyota,2020,Corolla,4659,0,17484
139,Toyota,2020,Highlander,301,0,48481
140,Toyota,2019,Avalon,25523,0,30974
141,Toyota,2017,RAV4,30648,0,17899
142,Toyota,2017,Camry,63572,0,12499
143,Toyota,2019,Highlander,27485,0,29998
144,Toyota,2017,Highlander,40505,0,29139
145,Toyota,2014,Corolla,65927,0,8999
146,Toyota,2019,Corolla,15251,0,20215
147,Toyota,2018,Corolla,24661,0,15937
148,Toyota,2018,Camry,37673,0,18724
149,Toyota,2013,Corolla,104494,0,7995
150,Toyota,2020,Corolla,986,1,21750
151,Toyota,2020,Sienna,27990,0,25980
152,Toyota,2019,Tundra,15949,0,44982
153,Toyota,2018,Corolla,45479,0,13929
154,Toyota,2017,Highlander,30963,0,23989
155,Toyota,2009,Camry,168097,0,5998
156,Toyota,2011,Avalon,121656,0,10000
157,Toyota,2020,Corolla,30448,0,16820
158,Toyota,2020,Camry,14642,1,27720
159,Toyota,2018,Camry,40836,1,18910
160,Toyota,2017,Corolla,39265,0,12350
161,Toyota,2011,Camry,88799,0,9226
162,Toyota,2013,Avalon,82354,0,14490
163,Toyota,2015,Corolla,78474,0,9900
164,Toyota,2018,Camry,40535,0,22987
165,Toyota,2014,Sequoia,74577,0,28995
166,Toyota,2016,Highlander,34443,0,25829
167,Toyota,2015,Tacoma,37577,0,25977
168,Toyota,2015,Corolla,42056,0,9500
169,Toyota,2019,Highlander,29652,0,29997
170,Toyota,2020,Camry,4604,0,24999
171,Toyota,2008,Sienna,123628,0,7997
172,Toyota,2009,Corolla,141898,0,4999
173,Toyota,2012,Sequoia,187476,0,16500
174,Toyota,2017,Avalon,54750,0,22758
175,Toyota,2012,Camry,156809,0,6950
176,Toyota,2020,Highlander,9875,0,34989
177,Toyota,2018,RAV4,8656,0,20717
178,Toyota,2014,Avalon,119322,0,11995
179,Toyota,2015,RAV4,68125,0,14900
180,Toyota,2019,Camry,10823,0,24487
181,Toyota,2013,Sienna,37297,0,21987
182,Toyota,2018,RAV4,37031,0,23747
183,Toyota,2013,RAV4,94626,0,13727
184,Toyota,2018,Camry,30320,0,16888
185,Toyota,2019,Sienna,32618,0,24550
186,Toyota,2019,Highlander,33602,0,28995
187,Toyota,2019,Highlander,2660,0,30816
188,Toyota,2020,RAV4,10671,0,29302
189,Toyota,2015,4Runner,42700,0,29980
190,Toyota,2019,C-HR,31143,0,15922
191,Toyota,2016,Avalon,46911,0,20988
192,Toyota,2018,C-HR,26410,0,18480
193,Toyota,2017,Camry,35170,0,17986
194,Toyota,2018,Camry,17002,1,22774
195,Toyota,2019,Camry,31725,0,16802
196,Toyota,2019,Camry,40991,0,15889
197,Toyota,2018,Sienna,15952,0,24991
198,Toyota,2012,Prius,128320,0,7995
199,Toyota,2019,Camry,23268,0,21520
200,Toyota,2018,Sienna,51765,0,24887
201,Toyota,2019,RAV4,19947,0,25874
202,Toyota,2019,4Runner,9262,0,37950
203,Toyota,2019,Highlander,39266,0,28087
204,Toyota,2019,C-HR,21136,0,20470
205,Toyota,2018,Camry,20007,0,27264
206,Toyota,2020,Corolla,20341,0,17097
207,Toyota,2014,FJ,106089,0,28481
208,Toyota,2019,Corolla,15943,0,13999
209,Toyota,2018,Sienna,42198,0,23572
210,Toyota,2018,Highlander,28986,0,30484
211,Toyota,2018,Tacoma,48262,0,34991
212,Toyota,2019,C-HR,30173,0,16932
213,Toyota,2016,RAV4,43351,0,15995
214,Toyota,2019,Highlander,20384,0,27989
215,Toyota,2015,Sienna,71045,0,17995
216,Toyota,2008,Corolla,67158,0,7500
217,Toyota,2001,Camry,44917,0,7500
218,Toyota,2017,Sienna,41309,0,25421
219,Toyota,2018,Camry,3124,0,24990
220,Toyota,2019,Camry,23752,0,23970
221,Toyota,2019,Corolla,16591,1,19900
222,Toyota,2019,Camry,15388,1,19090
223,Toyota,2013,Camry,75007,0,10500
224,Toyota,2013,Highlander,82395,0,14987
225,Toyota,2018,C-HR,15702,0,20000
226,Toyota,2017,Camry,52688,0,13996
227,Toyota,2019,Highlander,19048,0,33000
228,Toyota,2019,Corolla,11045,0,15250
229,Toyota,2019,Highlander,8625,0,30342
230,Toyota,2005,Camry,165863,0,4988
231,Toyota,2019,Corolla,14499,0,21485
